gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_biotype,gene_name,Essentiality,Functional
Rv0001,2941.644781,-0.193305782,0.17138782,-1.12788518,0.259368413,0.5147505,protein_coding,dnaA,ES,information pathways
Rv0002,1289.235451,-0.185385855,0.137436473,-1.348883969,0.177374238,0.415194681,protein_coding,dnaN,ES,information pathways
Rv0003,791.8531748,-0.15032766,0.114895581,-1.308385046,0.190742742,0.433585007,protein_coding,recF,NE,information pathways
Rv0004,314.7107625,-0.047632266,0.09672807,-0.492434781,0.622412017,0.799181363,protein_coding,NA,NE,conserved hypotheticals
Rv0005,11309.7966,0.257127496,0.161315958,1.593937137,0.110950116,0.318548013,protein_coding,gyrB,ES,information pathways
Rv0006,9807.077641,0.177503624,0.145264713,1.221932157,0.221733284,0.472629571,protein_coding,gyrA,ES,information pathways
Rv0007,1310.696183,0.161892688,0.109762921,1.474930566,0.140231212,0.362505273,protein_coding,NA,NE,cell wall and cell processes
Rvnt01,77.62471314,-0.089521455,0.132806037,-0.674076697,0.500262554,0.714246562,tRNA,ileT,NA,NA
Rvnt02,327.4126669,-0.486771074,0.25004983,-1.946696282,0.051571158,0.198499369,tRNA,alaT,NA,NA
Rv0008c,133.6550656,-0.19721071,0.166054416,-1.18762701,0.234980392,0.485609968,protein_coding,NA,NE,cell wall and cell processes
Rv0009,2773.929564,-0.252669596,0.191520374,-1.319283117,0.18707448,0.428827376,protein_coding,ppiA,NE,information pathways
Rv0010c,437.4894199,0.101116319,0.154800787,0.653202873,0.513625498,0.726003838,protein_coding,NA,NE,cell wall and cell processes
Rv0011c,715.3227084,0.085216935,0.250604586,0.340045394,0.733822343,0.868052849,protein_coding,NA,NE,cell wall and cell processes
Rv0012,522.0462499,0.053294019,0.09565247,0.557163019,0.577416054,0.77260206,protein_coding,NA,NE,cell wall and cell processes
Rv0013,415.7516444,0.142030876,0.15358859,0.924748874,0.35509655,0.600782541,protein_coding,trpG,ES,intermediary metabolism and respiration
Rv0014c,1821.703893,0.143603187,0.090370952,1.589041438,0.112051038,0.31991253,protein_coding,pknB,ES,regulatory proteins
Rv0015c,1325.876384,0.320704517,0.091101613,3.520294601,0.000431068,0.005790483,protein_coding,pknA,ES,regulatory proteins
Rv0016c,1568.450274,0.157100812,0.087498712,1.795464287,0.072579758,0.24329089,protein_coding,pbpA,NE,cell wall and cell processes
Rv0017c,904.2286811,0.178303885,0.149811486,1.190188348,0.233972372,0.484276838,protein_coding,rodA,NE,cell wall and cell processes
Rv0018c,1627.964352,0.219147146,0.099499558,2.202493668,0.027630456,0.133742098,protein_coding,pstP,ESD,regulatory proteins
Rv0019c,1093.84929,0.116041309,0.090427525,1.283252065,0.199403781,0.445680253,protein_coding,fhaB,NE,regulatory proteins
Rv0020c,6624.322125,0.173944485,0.089120377,1.951792521,0.050962843,0.197152958,protein_coding,fhaA,ESD,regulatory proteins
Rvnt03,130.4362935,0.258658462,0.100942741,2.562427564,0.010394327,0.068181028,tRNA,leuT,NA,NA
Rv0021c,290.6408423,-0.173958677,0.131467346,-1.323208249,0.185766134,0.426882523,protein_coding,NA,NE,conserved hypotheticals
Rv0022c,26.91152148,0.031369551,0.289204553,0.108468385,0.913624158,0.960529934,protein_coding,whiB5,NE,regulatory proteins
Rv0023,176.5133271,0.150840158,0.166512984,0.905876254,0.365001354,0.609626987,protein_coding,NA,GD,regulatory proteins
Rv0024,247.520946,0.241983049,0.113801837,2.126354517,0.033473752,0.149715563,protein_coding,NA,NE,"virulence, detoxification, adaptation"
Rv0025,153.7414923,-0.140048369,0.202651635,-0.691079396,0.489515648,0.707712863,protein_coding,NA,NE,conserved hypotheticals
Rv0026,337.6717714,-0.019388754,0.111333741,-0.174149848,0.861747699,0.936621243,protein_coding,NA,NE,conserved hypotheticals
Rv0027,188.9186321,-0.052852948,0.19376917,-0.272762423,0.785035847,0.896831762,protein_coding,NA,NE,conserved hypotheticals
Rv0028,129.3312992,0.242645858,0.168193474,1.442659179,0.149116504,0.376126884,protein_coding,NA,NE,conserved hypotheticals
Rv0029,529.2004357,0.039017123,0.116376059,0.335267608,0.737423226,0.8705117,protein_coding,NA,NE,conserved hypotheticals
Rv0030,123.460078,-0.746888572,0.198836907,-3.756287415,0.000172453,0.002834614,protein_coding,NA,NE,conserved hypotheticals
Rv0032,323.4215374,-1.010718915,0.19942196,-5.068242798,4.01505E-07,1.43502E-05,protein_coding,bioF2,NE,intermediary metabolism and respiration
Rv0033,28.98728936,-1.461790949,0.312539711,-4.677136682,2.90908E-06,9.02718E-05,protein_coding,acpA,NE,lipid metabolism
Rv0034,49.00367836,-0.988485723,0.174238716,-5.673169223,1.4018E-08,6.52487E-07,protein_coding,NA,NE,conserved hypotheticals
Rv0035,229.4871737,-0.969113547,0.164255967,-5.900020356,3.63457E-09,1.99304E-07,protein_coding,fadD34,NE,lipid metabolism
Rv0036c,726.6220609,-0.04117235,0.148296562,-0.277635227,0.781292388,0.89454344,protein_coding,NA,NE,conserved hypotheticals
Rv0037c,681.8058264,0.138913102,0.111255585,1.248594411,0.211813458,0.461059962,protein_coding,NA,NE,cell wall and cell processes
Rv0038,913.5030593,0.12776454,0.106253584,1.202449231,0.229189525,0.478833856,protein_coding,NA,NE,conserved hypotheticals
Rv0039c,115.7607553,0.128876655,0.275160103,0.468369702,0.639520231,0.81041479,protein_coding,NA,NE,cell wall and cell processes
Rv0040c,1314.075531,0.023930552,0.291563765,0.082076565,0.934585828,0.968456399,protein_coding,mtc28,NE,cell wall and cell processes
Rv0041,1860.405561,-0.095221474,0.119094955,-0.799542468,0.423975932,0.657820021,protein_coding,leuS,ES,information pathways
Rv0042c,621.3759547,-0.111959102,0.144119815,-0.776847386,0.437248816,0.669589522,protein_coding,NA,NE,regulatory proteins
Rv0043c,347.8000821,-0.247422244,0.113053433,-2.188542513,0.028630108,0.136520886,protein_coding,NA,NE,regulatory proteins
Rv0044c,282.2096922,-0.040630945,0.140188714,-0.289830354,0.771946025,0.88944382,protein_coding,NA,NE,intermediary metabolism and respiration
Rv0045c,808.2578855,0.137720104,0.115175944,1.195736705,0.231799323,0.481497458,protein_coding,NA,NE,lipid metabolism
Rv0046c,3556.739359,0.480766303,0.140353965,3.425384557,0.00061393,0.007608548,protein_coding,ino1,ES,intermediary metabolism and respiration
Rv0047c,1119.472121,0.66200408,0.213818,3.096110153,0.001960775,0.018944812,protein_coding,NA,NE,conserved hypotheticals
Rv0048c,528.2675851,-0.774549532,0.223753017,-3.461627202,0.00053692,0.006844879,protein_coding,NA,NE,cell wall and cell processes
Rv0049,765.1474726,-0.081678768,0.107357377,-0.760811886,0.446769434,0.677042136,protein_coding,NA,NE,conserved hypotheticals
Rv0050,3346.411038,0.309321772,0.114955528,2.69079511,0.007128196,0.050744876,protein_coding,ponA1,NE,cell wall and cell processes
Rv0051,647.656491,0.202748218,0.11608786,1.746506635,0.080722955,0.259545373,protein_coding,NA,NE,cell wall and cell processes
Rv0052,230.5058395,0.124306046,0.108139211,1.14950022,0.250349776,0.503286748,protein_coding,NA,NE,conserved hypotheticals
Rv0053,1287.600424,-0.364795472,0.202285579,-1.803368651,0.071330338,0.240486218,protein_coding,rpsF,ES,information pathways
Rv0054,2074.702967,-0.013565369,0.104166716,-0.130227477,0.896386456,0.95278327,protein_coding,ssb,ES,information pathways
Rv0055,1688.817526,-0.337049422,0.155668384,-2.165175827,0.030374223,0.141217205,protein_coding,rpsR1,ES,information pathways
Rv0056,2362.727371,-0.248110789,0.088612039,-2.799967055,0.005110782,0.039693281,protein_coding,rplI,NE,information pathways
Rv0057,1438.521197,0.068342703,0.149195886,0.458073643,0.646899534,0.814320388,protein_coding,NA,NE,conserved hypotheticals
Rv0058,6837.194969,-0.119201008,0.086543779,-1.377349231,0.168404301,0.403424547,protein_coding,dnaB,ES,information pathways
Rv0059,599.6409486,0.05439129,0.120453046,0.451555953,0.651588908,0.818165118,protein_coding,NA,GA,conserved hypotheticals
Rv0060,2690.189798,-0.001571911,0.117177,-0.013414846,0.989296822,0.995537766,protein_coding,NA,ES,conserved hypotheticals
Rv0061c,1963.078888,0.045474676,0.131318678,0.346292521,0.729122889,0.86523233,protein_coding,NA,NE,conserved hypotheticals
Rv0062,613.3408342,0.09617198,0.203354899,0.472926789,0.636265412,0.808305441,protein_coding,celA1,NE,intermediary metabolism and respiration
Rv0063,392.1744474,0.156829645,0.15835342,0.990377381,0.321989697,0.570320689,protein_coding,NA,NE,intermediary metabolism and respiration
Rv0063a,252.9095591,-0.201615279,0.209430777,-0.962682186,0.335707039,0.584385103,protein_coding,NA,NA,NA
Rv0064,2664.581158,0.160041368,0.196057952,0.816296233,0.414330728,0.650673168,protein_coding,NA,NE,cell wall and cell processes
Rv0064A,67.07431502,0.02528472,0.224555913,0.112598772,0.910348659,0.959990959,protein_coding,vapB1,NE,"virulence, detoxification, adaptation"
Rv0065,98.06532223,0.21614463,0.223591826,0.966692896,0.333697579,0.582297912,protein_coding,vapC1,NE,"virulence, detoxification, adaptation"
Rv0066c,2340.513495,-0.41406802,0.137957248,-3.001422735,0.002687212,0.024172833,protein_coding,icd2,NE,intermediary metabolism and respiration
Rv0067c,228.7008917,-0.051093028,0.142358573,-0.358903767,0.719667081,0.860710567,protein_coding,NA,NE,regulatory proteins
Rv0068,284.1570366,-0.158783374,0.164837066,-0.963274695,0.335409689,0.584266747,protein_coding,NA,NE,intermediary metabolism and respiration
Rv0069c,380.7374954,0.070608524,0.124816193,0.565700029,0.571597715,0.766791439,protein_coding,sdaA,NE,intermediary metabolism and respiration
Rv0070c,388.9772588,0.171063572,0.125650619,1.361422438,0.173380229,0.410304315,protein_coding,glyA2,NE,intermediary metabolism and respiration
Rv0071,67.34539338,0.273821238,0.245600884,1.11490331,0.264891858,0.517273222,protein_coding,NA,NE,information pathways
Rv0072,1431.474469,0.165961427,0.099729173,1.664121154,0.09608822,0.290076279,protein_coding,NA,NE,cell wall and cell processes
Rv0073,1358.052223,0.07582477,0.093322048,0.812506498,0.416501059,0.652210006,protein_coding,NA,NE,cell wall and cell processes
Rv0074,774.8170434,0.12215038,0.084462832,1.446202753,0.148120342,0.374558262,protein_coding,NA,NE,conserved hypotheticals
Rv0075,862.6261619,0.116199839,0.093922924,1.237182939,0.216019174,0.465155865,protein_coding,NA,NE,intermediary metabolism and respiration
Rv0076c,125.4830749,-0.91273684,0.208990727,-4.367355682,1.2576E-05,0.000325412,protein_coding,NA,NE,cell wall and cell processes
Rv0077c,239.7754631,-0.472083546,0.19497601,-2.421239142,0.015467698,0.091323297,protein_coding,NA,NE,intermediary metabolism and respiration
Rv0078,91.28492102,-0.550260123,0.261509181,-2.10417134,0.035363504,0.155731689,protein_coding,NA,NE,regulatory proteins
Rv0078A,1077.207992,-0.0809272,0.116397441,-0.695266139,0.48688853,0.706420727,protein_coding,NA,NE,conserved hypotheticals
Rv0078B,583.0797283,-0.510119176,0.224142284,-2.275872129,0.022853664,0.118354074,protein_coding,NA,NE,conserved hypotheticals
Rv0079,1332.267506,0.979051851,0.274443015,3.567413995,0.000360522,0.005011001,protein_coding,NA,NE,conserved hypotheticals
Rv0080,473.9504642,0.704667603,0.277900822,2.535680168,0.011222918,0.071880546,protein_coding,NA,NE,conserved hypotheticals
Rv0081,172.2528846,-0.610911342,0.280504424,-2.177902698,0.029413282,0.139141322,protein_coding,NA,NE,regulatory proteins
Rv0082,268.7456109,-0.786127312,0.240086884,-3.274345104,0.001059072,0.011942154,protein_coding,NA,NE,intermediary metabolism and respiration
Rv0083,349.2023897,-0.50647649,0.242035604,-2.09257019,0.03638754,0.159255297,protein_coding,NA,NE,intermediary metabolism and respiration
Rv0084,378.0547865,-0.349968191,0.24648228,-1.419851321,0.15565097,0.383211937,protein_coding,hycD,NE,intermediary metabolism and respiration
Rv0085,130.0720065,-0.451980934,0.246516171,-1.833473771,0.066732146,0.231813421,protein_coding,hycP,NE,intermediary metabolism and respiration
Rv0086,373.2734161,-0.207158984,0.184295641,-1.124057972,0.260988433,0.5153736,protein_coding,hycQ,NE,intermediary metabolism and respiration
Rv0087,229.6247972,-0.565478935,0.174302187,-3.244244629,0.001177626,0.012915165,protein_coding,hycE,NE,intermediary metabolism and respiration
Rv0088,976.4085069,-0.458846231,0.094736335,-4.843402816,1.27634E-06,4.22248E-05,protein_coding,NA,NE,lipid metabolism
Rv0089,189.0687155,-0.249289855,0.138949852,-1.794099462,0.072797295,0.24329089,protein_coding,NA,NE,intermediary metabolism and respiration
Rv0090,62.13402368,-0.268792948,0.187587897,-1.432890678,0.151889082,0.378587792,protein_coding,NA,NE,cell wall and cell processes
Rv0091,200.0526782,-0.698344378,0.170422824,-4.097716269,4.17246E-05,0.000879072,protein_coding,mtn,NE,intermediary metabolism and respiration
Rv0092,761.5059042,-0.221609533,0.086598913,-2.559033655,0.010496358,0.068543101,protein_coding,ctpA,NE,cell wall and cell processes
Rv0093c,277.8750158,-0.186034606,0.096760374,-1.92263215,0.054526263,0.20478617,protein_coding,NA,NE,cell wall and cell processes
Rv0094c,8.41849518,1.775581874,1.649795992,1.076243295,0.281818462,0.530303333,protein_coding,NA,NE,NA
Rv0095c,237.6318595,0.387853701,0.299155805,1.296493983,0.194805352,0.440568262,protein_coding,NA,NE,insertion seqs and phages
Rv0096,132.3679603,-0.170681061,0.291803362,-0.584918075,0.558602804,0.75594558,protein_coding,PPE1,NE,PE/PPE
Rv0097,390.3123714,-0.242659061,0.255001408,-0.951598907,0.341300436,0.589907446,protein_coding,NA,NE,intermediary metabolism and respiration
Rv0098,205.2977778,-0.352331883,0.296949773,-1.186503292,0.235423602,0.486024074,protein_coding,fcoT,NE,lipid metabolism
Rv0099,551.0823307,0.005871927,0.20160854,0.029125389,0.976764587,0.989119312,protein_coding,fadD10,NE,lipid metabolism
Rv0100,28.35069219,-0.43294268,0.360505033,-1.200933804,0.22977688,0.479310501,protein_coding,NA,NE,conserved hypotheticals
Rv0101,1453.08386,0.018914997,0.196133049,0.096439624,0.923171424,0.964618953,protein_coding,nrp,NE,lipid metabolism
Rv0102,978.1377348,0.396113081,0.091436573,4.332107703,1.47689E-05,0.000371822,protein_coding,NA,ES,cell wall and cell processes
Rv0103c,1828.25277,-0.031155454,0.16500813,-0.18881163,0.850240456,0.926882502,protein_coding,ctpB,NE,cell wall and cell processes
Rv0104,180.9539336,-0.50953638,0.367577504,-1.386201209,0.165685473,0.399782367,protein_coding,NA,NE,conserved hypotheticals
Rv0105c,7.077529117,-0.065746466,0.453745869,-0.144897113,0.884792106,0.947771688,protein_coding,rpmB1,NE,information pathways
Rv0106,349.9286512,-0.266848682,0.211688834,-1.260570419,0.207463662,0.455025236,protein_coding,NA,NE,conserved hypotheticals
Rv0107c,2057.773893,-0.212716163,0.094148519,-2.259368119,0.023860496,0.121673331,protein_coding,ctpI,NE,cell wall and cell processes
Rv0108c,1984.449033,-0.573922763,0.260870842,-2.200026494,0.027805015,0.134207015,protein_coding,NA,NE,conserved hypotheticals
Rv0109,81.52884255,-0.036049444,0.148667566,-0.242483586,0.808405474,0.909001998,protein_coding,PE_PGRS1,NE,PE/PPE
Rv0110,214.7832435,-0.000453444,0.130218149,-0.003482185,0.997221624,0.998501922,protein_coding,NA,NE,cell wall and cell processes
Rv0111,463.3331996,-0.240205496,0.226488905,-1.060561869,0.288889059,0.537621062,protein_coding,NA,NE,intermediary metabolism and respiration
Rv0112,917.6059102,-0.056618064,0.176165886,-0.321390624,0.747914387,0.875665777,protein_coding,gca,NE,cell wall and cell processes
Rv0113,464.2308664,-0.115696985,0.171353728,-0.675193862,0.499552606,0.713926841,protein_coding,gmhA,NE,cell wall and cell processes
Rv0114,243.2366253,-0.097740793,0.167362016,-0.584008218,0.559214783,0.756007016,protein_coding,gmhB,NE,cell wall and cell processes
Rv0115,427.3216121,0.160393839,0.170037121,0.943287194,0.345534024,0.594548533,protein_coding,hddA,NE,cell wall and cell processes
Rv0115a,357.2826509,-0.323157286,0.177741473,-1.818131026,0.069044109,0.236272559,protein_coding,NA,NA,NA
Rv0116c,1000.109437,-0.076121814,0.160067909,-0.475559493,0.634388239,0.807042109,protein_coding,ldtA,NE,cell wall and cell processes
Rv0117,216.5591469,-0.308789237,0.185162947,-1.667662141,0.095382815,0.288381728,protein_coding,oxyS,NE,regulatory proteins
Rv0118c,314.4474297,-0.50285657,0.199763943,-2.517253927,0.011827355,0.074794477,protein_coding,oxcA,NE,intermediary metabolism and respiration
Rv0119,256.095878,-0.875162277,0.208524219,-4.196933484,2.70553E-05,0.000629666,protein_coding,fadD7,NE,lipid metabolism
Rv0120c,2006.839054,-0.110954747,0.077779367,-1.426531877,0.153714872,0.380532241,protein_coding,fusA2,NE,information pathways
Rv0121c,114.8172584,-0.066049303,0.21468149,-0.307661844,0.758339656,0.880659601,protein_coding,NA,NE,conserved hypotheticals
Rv0122,105.3714408,-0.010677375,0.242480443,-0.044033962,0.964877332,0.983550792,protein_coding,NA,NE,conserved hypotheticals
Rv0123,107.182148,0.183491314,0.215283173,0.852325389,0.394033518,0.634734879,protein_coding,NA,NE,conserved hypotheticals
Rv0124,25.27622939,0.399133819,0.380098243,1.050080674,0.293681023,0.54200329,protein_coding,PE_PGRS2,NE,PE/PPE
Rv0125,1880.24236,-0.07885734,0.185394489,-0.425348888,0.67058236,0.829012102,protein_coding,pepA,NE,intermediary metabolism and respiration
Rv0126,1265.954406,-0.070292439,0.099008355,-0.709964725,0.477726011,0.700233329,protein_coding,treS,NE,"virulence, detoxification, adaptation"
Rv0127,1096.014246,-0.221531647,0.08827212,-2.509644591,0.012085273,0.075589605,protein_coding,mak,NE,"virulence, detoxification, adaptation"
Rv0128,306.5923221,-0.205143336,0.113327331,-1.810184134,0.070267237,0.238574852,protein_coding,NA,NE,cell wall and cell processes
Rv0129c,4608.374823,-0.130201979,0.09068314,-1.435790365,0.151062002,0.376995757,protein_coding,fbpC,NE,lipid metabolism
Rv0130,105.3671539,-0.402877676,0.195465097,-2.061123354,0.039291273,0.166789997,protein_coding,htdZ,NE,intermediary metabolism and respiration
Rv0131c,471.1110806,-0.237478647,0.068138611,-3.485228776,0.000491716,0.006308785,protein_coding,fadE1,NE,lipid metabolism
Rv0132c,112.8645191,-0.004317447,0.230558482,-0.01872604,0.985059655,0.993247808,protein_coding,fgd2,NE,intermediary metabolism and respiration
