gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_biotype,gene_name,Essentiality,Functional
Rv0001,2941.644781,-1.702563184,0.173657622,-9.804137412,1.08066E-22,9.20403E-22,protein_coding,dnaA,ES,information pathways
Rv0002,1289.235451,-0.852034445,0.141051126,-6.040607169,1.53535E-09,4.98865E-09,protein_coding,dnaN,ES,information pathways
Rv0003,791.8531748,-1.011380793,0.121624436,-8.315605203,9.12852E-17,5.20534E-16,protein_coding,recF,NE,information pathways
Rv0004,314.7107625,-0.642699977,0.110608594,-5.810579047,6.22571E-09,1.91263E-08,protein_coding,NA,NE,conserved hypotheticals
Rv0005,11309.7966,1.127375497,0.161398861,6.985027592,2.848E-12,1.1412E-11,protein_coding,gyrB,ES,information pathways
Rv0006,9807.077641,0.683335502,0.145419057,4.699078083,2.61339E-06,6.27934E-06,protein_coding,gyrA,ES,information pathways
Rv0007,1310.696183,0.174962171,0.112021209,1.561866483,0.118319446,0.151513993,protein_coding,NA,NE,cell wall and cell processes
Rvnt01,77.62471314,-2.281499049,0.252257848,-9.044313447,1.50609E-19,1.03589E-18,tRNA,ileT,NA,NA
Rvnt02,327.4126669,-0.728622841,0.255354978,-2.853372381,0.00432579,0.00703908,tRNA,alaT,NA,NA
Rv0008c,133.6550656,-0.586693368,0.186538781,-3.14515493,0.001659989,0.002854354,protein_coding,NA,NE,cell wall and cell processes
Rv0009,2773.929564,-0.771183737,0.192360655,-4.009051312,6.09632E-05,0.000124572,protein_coding,ppiA,NE,information pathways
Rv0010c,437.4894199,-0.665315314,0.162418087,-4.096312957,4.19782E-05,8.75202E-05,protein_coding,NA,NE,cell wall and cell processes
Rv0011c,715.3227084,0.006693244,0.252633968,0.026493842,0.978863446,0.982545229,protein_coding,NA,NE,cell wall and cell processes
Rv0012,522.0462499,0.065492725,0.101838312,0.64310498,0.520155984,0.573166709,protein_coding,NA,NE,cell wall and cell processes
Rv0013,415.7516444,-1.012593848,0.165439156,-6.12064201,9.31991E-10,3.09607E-09,protein_coding,trpG,ES,intermediary metabolism and respiration
Rv0014c,1821.703893,-0.230599524,0.092541156,-2.491859112,0.012707643,0.019246574,protein_coding,pknB,ES,regulatory proteins
Rv0015c,1325.876384,-0.527083312,0.09515164,-5.539403315,3.03504E-08,8.79744E-08,protein_coding,pknA,ES,regulatory proteins
Rv0016c,1568.450274,-0.536752353,0.090864179,-5.907194221,3.47983E-09,1.0977E-08,protein_coding,pbpA,NE,cell wall and cell processes
Rv0017c,904.2286811,-0.32478992,0.15271789,-2.126731325,0.033442413,0.047776581,protein_coding,rodA,NE,cell wall and cell processes
Rv0018c,1627.964352,-0.279399027,0.101883009,-2.742351538,0.006100102,0.00971812,protein_coding,pstP,ESD,regulatory proteins
Rv0019c,1093.84929,-0.042078071,0.093480743,-0.450125547,0.652619917,0.697393894,protein_coding,fhaB,NE,regulatory proteins
Rv0020c,6624.322125,0.625459247,0.089423845,6.994322935,2.66543E-12,1.07341E-11,protein_coding,fhaA,ESD,regulatory proteins
Rvnt03,130.4362935,-2.423939169,0.200815983,-12.07044943,1.51306E-33,2.08136E-32,tRNA,leuT,NA,NA
Rv0021c,290.6408423,-0.891178033,0.145416554,-6.128449655,8.87395E-10,2.95528E-09,protein_coding,NA,NE,conserved hypotheticals
Rv0022c,26.91152148,-0.006750241,0.375473624,-0.017977936,0.985656455,0.988372442,protein_coding,whiB5,NE,regulatory proteins
Rv0023,176.5133271,0.397627634,0.173981801,2.285455331,0.022286143,0.032654257,protein_coding,NA,GD,regulatory proteins
