gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_biotype,gene_name,Essentiality,Functional
Rv0001,2941.644781,0.081644711,0.17454936,0.467745689,0.639966464,0.682051585,protein_coding,dnaA,ES,information pathways
Rv0002,1289.235451,0.492581714,0.144628602,3.405838859,0.000659611,0.001089733,protein_coding,dnaN,ES,information pathways
Rv0003,791.8531748,-1.130327532,0.148703139,-7.601235192,2.93317E-14,9.96732E-14,protein_coding,recF,NE,information pathways
Rv0004,314.7107625,-1.714098767,0.20466541,-8.375126819,5.51644E-17,2.22156E-16,protein_coding,NA,NE,conserved hypotheticals
Rv0005,11309.7966,1.161834674,0.162117544,7.166619009,7.68726E-13,2.44223E-12,protein_coding,gyrB,ES,information pathways
Rv0006,9807.077641,0.445139833,0.146695249,3.034452964,0.002409723,0.00375049,protein_coding,gyrA,ES,information pathways
Rv0007,1310.696183,0.175996269,0.123063708,1.430123246,0.152681649,0.186906618,protein_coding,NA,NE,cell wall and cell processes
Rvnt01,77.62471314,0.126614738,0.234920202,0.538969133,0.589908153,0.635639929,tRNA,ileT,NA,NA
Rvnt02,327.4126669,-0.763234249,0.280209826,-2.723795448,0.006453646,0.009532822,tRNA,alaT,NA,NA
Rv0008c,133.6550656,0.089452368,0.227264019,0.3936055,0.69387232,0.730747408,protein_coding,NA,NE,cell wall and cell processes
Rv0009,2773.929564,-1.738344335,0.200803394,-8.65694699,4.84568E-18,2.04828E-17,protein_coding,ppiA,NE,information pathways
Rv0010c,437.4894199,-0.530241378,0.188283682,-2.816183393,0.004859792,0.007280594,protein_coding,NA,NE,cell wall and cell processes
Rv0011c,715.3227084,1.176311794,0.255714341,4.600100986,4.22286E-06,8.62015E-06,protein_coding,NA,NE,cell wall and cell processes
Rv0012,522.0462499,0.739792261,0.116634818,6.342808027,2.25615E-10,6.31563E-10,protein_coding,NA,NE,cell wall and cell processes
Rv0013,415.7516444,0.50214777,0.17303915,2.90193156,0.003708696,0.00563626,protein_coding,trpG,ES,intermediary metabolism and respiration
Rv0014c,1821.703893,-1.038899124,0.110129053,-9.433470069,3.96742E-21,1.97042E-20,protein_coding,pknB,ES,regulatory proteins
Rv0015c,1325.876384,-3.112196571,0.17812695,-17.4717895,2.35007E-68,5.31487E-67,protein_coding,pknA,ES,regulatory proteins
Rv0016c,1568.450274,-1.267562116,0.11387782,-11.13089549,8.87395E-29,6.25395E-28,protein_coding,pbpA,NE,cell wall and cell processes
Rv0017c,904.2286811,-1.732988046,0.188331619,-9.201790204,3.52035E-20,1.65011E-19,protein_coding,rodA,NE,cell wall and cell processes
Rv0018c,1627.964352,-1.39693548,0.125281727,-11.15035297,7.13229E-29,5.08017E-28,protein_coding,pstP,ESD,regulatory proteins
Rv0019c,1093.84929,-1.683350724,0.136438373,-12.33781003,5.66765E-35,5.01939E-34,protein_coding,fhaB,NE,regulatory proteins
Rv0020c,6624.322125,-0.706549626,0.094935161,-7.44244408,9.88393E-14,3.26987E-13,protein_coding,fhaA,ESD,regulatory proteins
Rvnt03,130.4362935,-0.526560587,0.214484736,-2.455002611,0.014088356,0.019991383,tRNA,leuT,NA,NA
Rv0021c,290.6408423,-1.277112312,0.209005366,-6.110428352,9.93641E-10,2.64993E-09,protein_coding,NA,NE,conserved hypotheticals
Rv0022c,26.91152148,-3.292491914,1.201744351,-2.739760675,0.006148394,0.009105446,protein_coding,whiB5,NE,regulatory proteins
Rv0023,176.5133271,-2.176365975,0.362410967,-6.005243144,1.91045E-09,4.99513E-09,protein_coding,NA,GD,regulatory proteins
Rv0024,247.520946,-2.414002078,0.315077377,-7.661616649,1.83607E-14,6.34149E-14,protein_coding,NA,NE,"virulence, detoxification, adaptation"
Rv0025,153.7414923,-1.053213768,0.299814961,-3.51287929,0.000443279,0.000749343,protein_coding,NA,NE,conserved hypotheticals
Rv0026,337.6717714,-0.267642635,0.1566338,-1.708715717,0.087503621,0.110917352,protein_coding,NA,NE,conserved hypotheticals
Rv0027,188.9186321,3.251818529,0.198565987,16.37651328,2.8142E-60,5.23965E-59,protein_coding,NA,NE,conserved hypotheticals
