gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_biotype,gene_name,Essentiality,Functional
Rv0001,2941.644781,-0.032337783,0.171414285,-0.188652792,0.850364954,0.970646814,protein_coding,dnaA,ES,information pathways
Rv0002,1289.235451,0.125542652,0.137420138,0.913568087,0.360943841,0.772530986,protein_coding,dnaN,ES,information pathways
Rv0003,791.8531748,0.011460402,0.115030133,0.099629563,0.920638423,0.988306861,protein_coding,recF,NE,information pathways
Rv0004,314.7107625,-0.13435605,0.097918007,-1.372128105,0.170023562,0.600749971,protein_coding,NA,NE,conserved hypotheticals
Rv0005,11309.7966,0.193686926,0.161348586,1.200425304,0.229974206,0.673435807,protein_coding,gyrB,ES,information pathways
Rv0006,9807.077641,0.097900238,0.14530233,0.673769226,0.500458042,0.850878117,protein_coding,gyrA,ES,information pathways
Rv0007,1310.696183,0.056111298,0.110106339,0.509610062,0.610324673,0.908487071,protein_coding,NA,NE,cell wall and cell processes
Rvnt01,77.62471314,0.155400063,0.133132247,1.167260873,0.243105035,0.688939782,tRNA,ileT,NA,NA
Rvnt02,327.4126669,-0.154225062,0.24998507,-0.616937092,0.53727622,0.875088324,tRNA,alaT,NA,NA
Rv0008c,133.6550656,-0.186909579,0.167546684,-1.115567164,0.264607454,0.710411561,protein_coding,NA,NE,cell wall and cell processes
Rv0009,2773.929564,0.027968181,0.191521276,0.146031717,0.88389635,0.97849477,protein_coding,ppiA,NE,information pathways
Rv0010c,437.4894199,0.128972562,0.15515957,0.83122531,0.405846359,0.807055627,protein_coding,NA,NE,cell wall and cell processes
Rv0011c,715.3227084,0.331647852,0.250629403,1.323259953,0.185748944,0.624799331,protein_coding,NA,NE,cell wall and cell processes
Rv0012,522.0462499,-0.055586019,0.096619329,-0.575309509,0.565081992,0.887785746,protein_coding,NA,NE,cell wall and cell processes
Rv0013,415.7516444,0.151756504,0.154030977,0.985233665,0.324509308,0.749826799,protein_coding,trpG,ES,intermediary metabolism and respiration
Rv0014c,1821.703893,0.20737184,0.090492207,2.291598888,0.0219288,0.203668179,protein_coding,pknB,ES,regulatory proteins
Rv0015c,1325.876384,0.17351261,0.0914191,1.897990801,0.057697294,0.358081035,protein_coding,pknA,ES,regulatory proteins
Rv0016c,1568.450274,0.058288182,0.087760453,0.664173667,0.506579166,0.85276852,protein_coding,pbpA,NE,cell wall and cell processes
Rv0017c,904.2286811,0.279464082,0.14992975,1.863966832,0.062326362,0.376308338,protein_coding,rodA,NE,cell wall and cell processes
Rv0018c,1627.964352,0.075675543,0.099747257,0.758672925,0.448048237,0.825944886,protein_coding,pstP,ESD,regulatory proteins
Rv0019c,1093.84929,0.013469369,0.090817812,0.148311973,0.882096567,0.97849477,protein_coding,fhaB,NE,regulatory proteins
Rv0020c,6624.322125,0.125494205,0.089182925,1.407155076,0.15938141,0.586071569,protein_coding,fhaA,ESD,regulatory proteins
Rvnt03,130.4362935,0.089658901,0.103853203,0.863323399,0.387959683,0.790147022,tRNA,leuT,NA,NA
Rv0021c,290.6408423,-0.199870259,0.132334803,-1.510337834,0.130957242,0.533497246,protein_coding,NA,NE,conserved hypotheticals
Rv0022c,26.91152148,0.093905121,0.296489121,0.316723666,0.75145329,0.949303454,protein_coding,whiB5,NE,regulatory proteins
Rv0023,176.5133271,-0.254119649,0.169403769,-1.500082614,0.133593004,0.538542593,protein_coding,NA,GD,regulatory proteins
Rv0024,247.520946,-0.148998426,0.116517362,-1.278765864,0.200979518,0.640310452,protein_coding,NA,NE,"virulence, detoxification, adaptation"
Rv0025,153.7414923,-0.293926611,0.204408276,-1.437938893,0.150451393,0.572143666,protein_coding,NA,NE,conserved hypotheticals
Rv0026,337.6717714,-0.028372871,0.112149409,-0.252991713,0.800274617,0.961374856,protein_coding,NA,NE,conserved hypotheticals
Rv0027,188.9186321,0.170761495,0.194239376,0.879129135,0.379331262,0.787359224,protein_coding,NA,NE,conserved hypotheticals
Rv0028,129.3312992,0.424411245,0.169309213,2.506722689,0.012185627,0.138576891,protein_coding,NA,NE,conserved hypotheticals
Rv0029,529.2004357,0.169824577,0.116795942,1.454028059,0.145938527,0.563891818,protein_coding,NA,NE,conserved hypotheticals
