gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_biotype,gene_name,Essentiality,Functional
Rv0001,2941.644781,-0.669567674,0.192057215,-3.486292734,0.000489765,0.001847812,protein_coding,dnaA,ES,information pathways
Rv0002,1289.235451,-0.06528563,0.154177983,-0.423443276,0.671971876,0.764496474,protein_coding,dnaN,ES,information pathways
Rv0003,791.8531748,-0.86025933,0.131440255,-6.544869621,5.95473E-11,9.65052E-10,protein_coding,recF,NE,information pathways
Rv0004,314.7107625,-0.619058818,0.1149043,-5.387603587,7.14033E-08,7.04009E-07,protein_coding,NA,NE,conserved hypotheticals
Rv0005,11309.7966,0.199766289,0.180443539,1.107084746,0.26825729,0.384198187,protein_coding,gyrB,ES,information pathways
Rv0006,9807.077641,0.00796545,0.162529909,0.049009133,0.960912017,0.973400013,protein_coding,gyrA,ES,information pathways
Rv0007,1310.696183,-0.07575144,0.123850301,-0.611637107,0.540777881,0.649714412,protein_coding,NA,NE,cell wall and cell processes
Rvnt01,77.62471314,-0.834337575,0.174695892,-4.775942724,1.78867E-06,1.32349E-05,tRNA,ileT,NA,NA
Rvnt02,327.4126669,-0.637498965,0.281523709,-2.264459242,0.023545884,0.051674437,tRNA,alaT,NA,NA
Rv0008c,133.6550656,0.05200507,0.188553931,0.275810057,0.782693959,0.850092549,protein_coding,NA,NE,cell wall and cell processes
Rv0009,2773.929564,-0.07421409,0.214245715,-0.34639708,0.729044319,0.809402089,protein_coding,ppiA,NE,information pathways
Rv0010c,437.4894199,-0.641249152,0.176784055,-3.627301983,0.000286398,0.001154534,protein_coding,NA,NE,cell wall and cell processes
Rv0011c,715.3227084,-0.13274271,0.28108573,-0.472249908,0.63674842,0.734342819,protein_coding,NA,NE,cell wall and cell processes
Rv0012,522.0462499,0.149043078,0.108670394,1.371515027,0.170214462,0.267518058,protein_coding,NA,NE,cell wall and cell processes
Rv0013,415.7516444,-0.088076266,0.173855839,-0.506605164,0.612431884,0.713701553,protein_coding,trpG,ES,intermediary metabolism and respiration
Rv0014c,1821.703893,-0.328518414,0.102092867,-3.217839059,0.001291603,0.004258884,protein_coding,pknB,ES,regulatory proteins
Rv0015c,1325.876384,-0.378710909,0.103570575,-3.656549242,0.000255633,0.001053861,protein_coding,pknA,ES,regulatory proteins
Rv0016c,1568.450274,-0.488443943,0.099369155,-4.9154483,8.85795E-07,7.04938E-06,protein_coding,pbpA,NE,cell wall and cell processes
Rv0017c,904.2286811,-0.295524977,0.168745839,-1.751302304,0.079893851,0.144581865,protein_coding,rodA,NE,cell wall and cell processes
Rv0018c,1627.964352,-0.398061412,0.112480287,-3.538943791,0.000401731,0.00154628,protein_coding,pstP,ESD,regulatory proteins
Rv0019c,1093.84929,-0.235146437,0.102655042,-2.290646739,0.021983853,0.048781244,protein_coding,fhaB,NE,regulatory proteins
Rv0020c,6624.322125,0.318930264,0.099752123,3.19722784,0.001387553,0.004545314,protein_coding,fhaA,ESD,regulatory proteins
Rvnt03,130.4362935,-0.656335491,0.131468371,-4.992345189,5.96505E-07,4.9031E-06,tRNA,leuT,NA,NA
Rv0021c,290.6408423,-0.337166354,0.150448291,-2.241077983,0.025021024,0.054345719,protein_coding,NA,NE,conserved hypotheticals
Rv0022c,26.91152148,-0.03668187,0.359526363,-0.102028318,0.918734198,0.946639123,protein_coding,whiB5,NE,regulatory proteins
Rv0023,176.5133271,0.088462636,0.189778629,0.46613592,0.641118214,0.738318817,protein_coding,NA,GD,regulatory proteins
Rv0024,247.520946,0.081881207,0.131337728,0.623440101,0.532995353,0.643225927,protein_coding,NA,NE,"virulence, detoxification, adaptation"
Rv0025,153.7414923,-0.08234251,0.229715428,-0.35845442,0.720003272,0.803505185,protein_coding,NA,NE,conserved hypotheticals
Rv0026,337.6717714,-0.397975277,0.129163836,-3.081166433,0.002061914,0.006448313,protein_coding,NA,NE,conserved hypotheticals
Rv0027,188.9186321,1.159141723,0.211478785,5.481125309,4.22629E-08,4.31578E-07,protein_coding,NA,NE,conserved hypotheticals
Rv0028,129.3312992,0.793608888,0.188418078,4.211957245,2.53167E-05,0.000140364,protein_coding,NA,NE,conserved hypotheticals
Rv0029,529.2004357,0.004366134,0.132873614,0.032859303,0.973786787,0.981633973,protein_coding,NA,NE,conserved hypotheticals
Rv0030,123.460078,-0.894450429,0.229803509,-3.892240082,9.93229E-05,0.000464474,protein_coding,NA,NE,conserved hypotheticals
Rv0032,323.4215374,-0.527608219,0.223896239,-2.356485409,0.018448792,0.041962783,protein_coding,bioF2,NE,intermediary metabolism and respiration
Rv0033,28.98728936,0.344089099,0.321118654,1.071532578,0.28393003,0.4009072,protein_coding,acpA,NE,lipid metabolism
Rv0034,49.00367836,0.029772304,0.187138679,0.159092198,0.873596235,0.915926068,protein_coding,NA,NE,conserved hypotheticals
Rv0035,229.4871737,-0.072467388,0.182642196,-0.39677243,0.691535283,0.780218641,protein_coding,fadD34,NE,lipid metabolism
Rv0036c,726.6220609,0.237481446,0.166256414,1.428404719,0.153175402,0.244287304,protein_coding,NA,NE,conserved hypotheticals
Rv0037c,681.8058264,-0.01912307,0.126539012,-0.15112391,0.879877972,0.919621807,protein_coding,NA,NE,cell wall and cell processes
Rv0038,913.5030593,0.392534017,0.11943623,3.286557326,0.001014201,0.003440302,protein_coding,NA,NE,conserved hypotheticals
Rv0039c,115.7607553,-0.531838166,0.314767169,-1.689624009,0.09109991,0.161217037,protein_coding,NA,NE,cell wall and cell processes
Rv0040c,1314.075531,-0.647314849,0.326779597,-1.980891264,0.047603469,0.093639649,protein_coding,mtc28,NE,cell wall and cell processes
Rv0041,1860.405561,0.177561132,0.133399323,1.331049722,0.183172651,0.283323076,protein_coding,leuS,ES,information pathways
Rv0042c,621.3759547,-0.328680871,0.162511439,-2.022509135,0.043123781,0.086528569,protein_coding,NA,NE,regulatory proteins
Rv0043c,347.8000821,0.005944983,0.128308209,0.046333614,0.963044348,0.974978888,protein_coding,NA,NE,regulatory proteins
Rv0044c,282.2096922,0.672718395,0.156260821,4.30509959,1.66911E-05,9.62742E-05,protein_coding,NA,NE,intermediary metabolism and respiration
Rv0045c,808.2578855,0.891240091,0.128447307,6.938565791,3.96101E-12,8.04868E-11,protein_coding,NA,NE,lipid metabolism
Rv0046c,3556.739359,1.816746141,0.15660201,11.60103971,4.07102E-31,4.93827E-29,protein_coding,ino1,ES,intermediary metabolism and respiration
Rv0047c,1119.472121,0.839173854,0.239291954,3.506903757,0.000453353,0.001728355,protein_coding,NA,NE,conserved hypotheticals
Rv0048c,528.2675851,-0.003489151,0.250053536,-0.013953617,0.988866986,0.992088858,protein_coding,NA,NE,cell wall and cell processes
Rv0049,765.1474726,0.367587973,0.120432768,3.052225566,0.002271513,0.007043275,protein_coding,NA,NE,conserved hypotheticals
Rv0050,3346.411038,-0.015215343,0.128962753,-0.117982464,0.906081553,0.93914955,protein_coding,ponA1,NE,cell wall and cell processes
Rv0051,647.656491,-0.607294423,0.133490589,-4.549342605,5.38138E-06,3.55473E-05,protein_coding,NA,NE,cell wall and cell processes
Rv0052,230.5058395,-0.681010923,0.131392472,-5.183028487,2.18312E-07,1.95067E-06,protein_coding,NA,NE,conserved hypotheticals
Rv0053,1287.600424,-0.045300817,0.226379752,-0.200109845,0.841394674,0.891740238,protein_coding,rpsF,ES,information pathways
Rv0054,2074.702967,0.6488455,0.116379204,5.575270128,2.47146E-08,2.61036E-07,protein_coding,ssb,ES,information pathways
Rv0055,1688.817526,0.647188944,0.173652483,3.726920189,0.000193834,0.000837019,protein_coding,rpsR1,ES,information pathways
Rv0056,2362.727371,0.737904362,0.098580119,7.485326343,7.13696E-14,1.84318E-12,protein_coding,rplI,NE,information pathways
Rv0057,1438.521197,-0.281278616,0.168487837,-1.669429802,0.095032232,0.167141486,protein_coding,NA,NE,conserved hypotheticals
Rv0058,6837.194969,-0.004965947,0.097043311,-0.051172482,0.959188079,0.973400013,protein_coding,dnaB,ES,information pathways
Rv0059,599.6409486,-0.477986958,0.139297045,-3.431422103,0.000600426,0.002203028,protein_coding,NA,GA,conserved hypotheticals
Rv0060,2690.189798,0.422068709,0.131182961,3.217404966,0.001293559,0.004261824,protein_coding,NA,ES,conserved hypotheticals
Rv0061c,1963.078888,-0.035339981,0.147297933,-0.23992177,0.810390904,0.871104938,protein_coding,NA,NE,conserved hypotheticals
Rv0062,613.3408342,0.07736927,0.227944515,0.339421501,0.734292223,0.813808597,protein_coding,celA1,NE,intermediary metabolism and respiration
Rv0063,392.1744474,-0.677032806,0.180936271,-3.741830224,0.000182685,0.000792671,protein_coding,NA,NE,intermediary metabolism and respiration
Rv0063a,252.9095591,-0.152882868,0.238451244,-0.641149386,0.521425631,0.633657195,protein_coding,NA,NA,NA
Rv0064,2664.581158,0.24281912,0.219617322,1.105646487,0.26887956,0.384951674,protein_coding,NA,NE,cell wall and cell processes
Rv0064A,67.07431502,0.254273133,0.259620851,0.979401814,0.327381481,0.447883824,protein_coding,vapB1,NE,"virulence, detoxification, adaptation"
Rv0065,98.06532223,-0.709875255,0.275097927,-2.580445674,0.009867288,0.024655901,protein_coding,vapC1,NE,"virulence, detoxification, adaptation"
Rv0066c,2340.513495,0.846605854,0.153897961,5.50108558,3.7746E-08,3.86763E-07,protein_coding,icd2,NE,intermediary metabolism and respiration
Rv0067c,228.7008917,0.246895834,0.162679603,1.517681565,0.129094694,0.213531359,protein_coding,NA,NE,regulatory proteins
Rv0068,284.1570366,0.950087514,0.179207086,5.301618001,1.14781E-07,1.07352E-06,protein_coding,NA,NE,intermediary metabolism and respiration
Rv0069c,380.7374954,-0.504245882,0.144028497,-3.501014672,0.00046349,0.001755815,protein_coding,sdaA,NE,intermediary metabolism and respiration
Rv0070c,388.9772588,-0.394949686,0.146000098,-2.705133018,0.006827704,0.018016678,protein_coding,glyA2,NE,intermediary metabolism and respiration
Rv0071,67.34539338,1.389598159,0.267674253,5.191377733,2.08744E-07,1.87775E-06,protein_coding,NA,NE,information pathways
Rv0072,1431.474469,-0.231536051,0.112602337,-2.05622775,0.039760569,0.080751677,protein_coding,NA,NE,cell wall and cell processes
Rv0073,1358.052223,-0.411574112,0.105806836,-3.889863124,0.000100301,0.000468499,protein_coding,NA,NE,cell wall and cell processes
